x  y  z 
-905.459273  -772.937893  517.164336 
-925.971916  -750.886009  293.831529 
-947.418908  -729.680580  474.352708 
-970.585006  -705.914871  296.226721 
-999.648466  -678.568214  427.348803 
-1019.980168  -658.500834  306.143659 
-1060.674221  -615.825300  419.707283 
-426.860936  -1242.811646  505.703922 
-435.661742  -1235.507480  542.641915 
-505.306855  -1166.612825  771.261856 
-516.141710  -1157.681317  447.198983 
-517.960408  -1153.264772  457.997195 
-554.583207  -1118.392367  432.853496 
-572.846152  -1100.213058  464.195052 
-581.747375  -1091.664767  429.668680 
-614.291130  -1060.235383  709.057763 
-736.077934  -937.100031  598.662287 
-764.119992  -908.403394  402.266171 
-840.517667  -830.126495  515.607504 
-853.369552  -820.801406  336.902754 
-850.739903  -819.896820  922.796734 
-896.655005  -773.748720  508.581127 
-903.115030  -767.383200  331.263113 
-905.748885  -766.007661  322.894840 
-912.149228  -761.026379  331.777780 
-918.215962  -752.207350  503.359150 
-932.476774  -738.297849  323.455786 
-962.681887  -711.470893  811.980864 
-1010.102082  -663.830639  433.789835 
-1024.970778  -645.416832  447.798157 
-458.381137  -1207.049665  518.146991 
-592.913513  -1074.756925  447.039843 
-617.999689  -1048.370633  456.739096 
-656.479810  -1008.767620  655.107171 
-662.850695  -1002.720341  641.591782 
-666.194933  -1001.603809  606.273826 
-674.873780  -989.217342  438.211355 
-743.841173  -923.349115  414.018866 
-766.292077  -902.171451  402.918695 
-811.903011  -856.751721  912.467385 
-847.102102  -822.197105  496.622869 
-859.051150  -809.836343  327.881050 
-860.132365  -807.076162  871.987864 
-865.200897  -798.804341  312.469725 
-904.107716  -763.487638  322.619666 
-904.957492  -764.263402  321.528726 
-901.410253  -765.168680  324.815913 
-906.397549  -760.056162  315.931118 
-905.288405  -762.777032  322.471082 
-907.333875  -761.011193  324.163478 
-909.022727  -755.405404  312.088063 
-948.848952  -716.802063  294.215307 
-959.232622  -708.494217  293.878847 
-385.625236  -1275.446869  495.525286 
-535.491771  -1125.181858  465.757035 
-595.283764  -1064.762933  460.536155 
-614.455539  -1045.214242  682.611662 
-641.159387  -1021.433064  399.012045 
-641.732512  -1020.003012  445.210240 
-653.506663  -1010.422493  654.778834 
-655.137869  -1005.881590  648.938126 
-677.077197  -983.437273  429.893450 
-705.544199  -955.620867  606.441805 
-753.610271  -907.946623  347.398592 
-759.919605  -899.479307  540.375704 
-805.090956  -854.807456  569.130575 
-818.763313  -842.477548  913.741825 
-830.072550  -831.819956  358.878355 
-842.232322  -816.817793  498.166086 
-890.176327  -769.243805  322.658198 
-903.210960  -757.307262  317.049522 
-998.465202  -663.101198  443.916279 
-447.003102  -1208.374525  523.315121 
-492.441012  -1160.721048  701.939219 
-605.030459  -1053.446422  416.949505 
-623.257697  -1030.494471  671.576581 
-639.925241  -1015.229860  441.019043 
-645.618936  -1009.933199  399.615645 
-653.896619  -1002.990750  653.175880 
-717.203557  -940.166815  374.328719 
-744.920371  -911.956221  343.205019 
-784.360479  -873.045141  333.357432 
-811.293368  -842.792356  380.159583 
-817.341068  -839.907931  383.727804 
-816.561244  -836.874160  382.068363 
-829.036309  -828.812553  512.053788 
-834.646678  -821.472346  859.981994 
-899.038535  -757.796401  333.621188 
-898.483197  -757.391261  331.437816 
-903.774327  -752.356281  873.173599 
-906.464429  -746.997963  310.956788 
-910.417457  -747.916254  473.194974 
-916.798726  -740.878062  863.274007 
-975.037854  -682.194932  406.845592 
-1008.752302  -645.703500  297.841327 
-1007.473886  -646.629276  400.828800 
-511.702195  -1138.837437  473.881003 
-665.872223  -983.359500  599.670620 
-726.680692  -925.938352  356.545111 
-774.943372  -874.659474  356.886118 
-776.922685  -873.448690  530.721378 
-806.445171  -845.165999  566.129357 
-811.811422  -839.148367  326.962062 
-852.040996  -796.254521  501.870317 
-858.086762  -792.462747  508.027532 
-862.273951  -788.249529  545.058246 
-868.225934  -784.349904  504.864629 
-890.074647  -760.310841  315.588865 
-891.451828  -757.080586  344.385407 
-904.148015  -748.453297  876.334529 
-904.423792  -743.620067  466.034023 
-909.098288  -742.912310  466.338993 
-910.310113  -742.014938  468.217087 
-911.540549  -739.409545  474.280412 
-944.368958  -704.225342  273.513445 
-991.033591  -659.741317  270.059793 
-992.767589  -660.218098  393.749989 
-997.187823  -653.662571  708.165242 
-1004.474667  -643.766341  258.000448 
-277.497285  -1367.479258  595.648730 
-285.915969  -1357.395167  545.997940 
-385.350007  -1259.949636  492.069174 
-429.325909  -1218.239484  497.933659 
-428.815904  -1215.758789  507.101735 
-473.974095  -1168.372950  716.292126 
-662.164910  -983.791789  597.818993 
-707.534120  -936.466164  578.435830 
-716.764336  -929.095103  365.078164 
-740.336450  -902.813137  412.782739 
-770.083791  -876.859186  399.556147 
-781.918406  -864.795303  543.484821 
-821.257079  -821.566959  926.537054 
-826.597876  -819.082016  313.938659 
-834.693422  -812.887254  519.243867 
-852.126873  -792.530644  363.421638 
-875.528873  -771.652167  352.823149 
-877.655950  -765.539768  487.777419 
-905.656619  -738.466034  464.627624 
